Time,Open,High,Low,Close,Volume,LastTradingDate,TimeStamp
2024-03-22 09:15:00+08:00,16748.0,16786.0,16708.0,16771.0,5284,20240327,1711070100
2024-03-22 09:30:00+08:00,16772.0,16779.0,16562.0,16565.0,24075,20240327,1711071000
2024-03-22 10:00:00+08:00,16565.0,16605.0,16510.0,16525.0,13723,20240327,1711072800
2024-03-22 10:30:00+08:00,16526.0,16540.0,16437.0,16437.0,12808,20240327,1711074600
2024-03-22 11:00:00+08:00,16437.0,16451.0,16388.0,16411.0,9664,20240327,1711076400
2024-03-22 11:30:00+08:00,16410.0,16414.0,16338.0,16363.0,8726,20240327,1711078200
2024-03-22 13:00:00+08:00,16361.0,16451.0,16346.0,16444.0,11722,20240327,1711083600
2024-03-22 13:30:00+08:00,16443.0,16456.0,16385.0,16429.0,7403,20240327,1711085400
2024-03-22 14:00:00+08:00,16429.0,16542.0,16410.0,16498.0,11524,20240327,1711087200
2024-03-22 14:30:00+08:00,16499.0,16525.0,16467.0,16516.0,5649,20240327,1711089000
2024-03-22 15:00:00+08:00,16516.0,16575.0,16516.0,16546.0,7839,20240327,1711090800
2024-03-22 15:30:00+08:00,16547.0,16549.0,16513.0,16516.0,7081,20240327,1711092600
2024-03-22 16:00:00+08:00,16517.0,16527.0,16483.0,16515.0,9033,20240327,1711094400
2024-03-22 17:15:00+08:00,16520.0,16561.0,16508.0,16540.0,839,20240327,1711098900
2024-03-22 17:30:00+08:00,16539.0,16539.0,16515.0,16526.0,401,20240327,1711099800
2024-03-22 18:00:00+08:00,16526.0,16533.0,16509.0,16517.0,420,20240327,1711101600
2024-03-22 18:30:00+08:00,16517.0,16518.0,16488.0,16494.0,398,20240327,1711103400
2024-03-22 19:00:00+08:00,16494.0,16530.0,16485.0,16495.0,1002,20240327,1711105200
2024-03-22 19:30:00+08:00,16492.0,16495.0,16438.0,16445.0,874,20240327,1711107000
2024-03-22 20:00:00+08:00,16446.0,16520.0,16440.0,16519.0,1954,20240327,1711108800
2024-03-22 20:30:00+08:00,16518.0,16530.0,16507.0,16515.0,779,20240327,1711110600
2024-03-22 21:00:00+08:00,16515.0,16518.0,16480.0,16482.0,478,20240327,1711112400
2024-03-22 21:30:00+08:00,16484.0,16509.0,16448.0,16485.0,1882,20240327,1711114200
2024-03-22 22:00:00+08:00,16486.0,16494.0,16462.0,16478.0,1170,20240327,1711116000
2024-03-22 22:30:00+08:00,16478.0,16510.0,16477.0,16484.0,516,20240327,1711117800
2024-03-22 23:00:00+08:00,16484.0,16548.0,16483.0,16543.0,929,20240327,1711119600
2024-03-22 23:30:00+08:00,16542.0,16544.0,16507.0,16511.0,785,20240327,1711121400
2024-03-23 00:00:00+08:00,16512.0,16522.0,16487.0,16507.0,592,20240327,1711123200
2024-03-23 00:30:00+08:00,16509.0,16525.0,16508.0,16522.0,375,20240327,1711125000
2024-03-23 01:00:00+08:00,16522.0,16528.0,16506.0,16516.0,206,20240327,1711126800
2024-03-23 01:30:00+08:00,16516.0,16519.0,16507.0,16511.0,209,20240327,1711128600
2024-03-23 02:00:00+08:00,16510.0,16513.0,16487.0,16502.0,242,20240327,1711130400
2024-03-23 02:30:00+08:00,16501.0,16515.0,16487.0,16515.0,516,20240327,1711132200
2024-03-25 09:15:00+08:00,16521.0,16594.0,16505.0,16584.0,4100,20240327,1711329300
2024-03-25 09:30:00+08:00,16582.0,16614.0,16477.0,16556.0,19540,20240327,1711330200
2024-03-25 10:00:00+08:00,16557.0,16608.0,16507.0,16584.0,11261,20240327,1711332000
2024-03-25 10:30:00+08:00,16582.0,16623.0,16546.0,16567.0,10035,20240327,1711333800
2024-03-25 11:00:00+08:00,16567.0,16639.0,16550.0,16604.0,8580,20240327,1711335600
2024-03-25 11:30:00+08:00,16604.0,16608.0,16555.0,16586.0,4129,20240327,1711337400
2024-03-25 13:00:00+08:00,16589.0,16611.0,16534.0,16548.0,5235,20240327,1711342800
2024-03-25 13:30:00+08:00,16549.0,16571.0,16528.0,16532.0,4574,20240327,1711344600
2024-03-25 14:00:00+08:00,16532.0,16562.0,16478.0,16498.0,6889,20240327,1711346400
2024-03-25 14:30:00+08:00,16498.0,16513.0,16477.0,16488.0,4126,20240327,1711348200
2024-03-25 15:00:00+08:00,16489.0,16509.0,16458.0,16508.0,6501,20240327,1711350000
2024-03-25 15:30:00+08:00,16507.0,16534.0,16482.0,16485.0,6244,20240327,1711351800
2024-03-25 16:00:00+08:00,16484.0,16512.0,16482.0,16492.0,3340,20240327,1711353600
2024-03-25 17:15:00+08:00,16492.0,16494.0,16471.0,16481.0,271,20240327,1711358100
2024-03-25 17:30:00+08:00,16481.0,16482.0,16448.0,16449.0,529,20240327,1711359000
2024-03-25 18:00:00+08:00,16448.0,16449.0,16422.0,16436.0,593,20240327,1711360800
2024-03-25 18:30:00+08:00,16435.0,16439.0,16416.0,16438.0,375,20240327,1711362600
2024-03-25 19:00:00+08:00,16439.0,16454.0,16433.0,16448.0,470,20240327,1711364400
2024-03-25 19:30:00+08:00,16449.0,16454.0,16443.0,16450.0,202,20240327,1711366200
2024-03-25 20:00:00+08:00,16448.0,16464.0,16446.0,16456.0,254,20240327,1711368000
2024-03-25 20:30:00+08:00,16456.0,16467.0,16453.0,16457.0,182,20240327,1711369800
2024-03-25 21:00:00+08:00,16458.0,16473.0,16457.0,16459.0,252,20240327,1711371600
2024-03-25 21:30:00+08:00,16460.0,16529.0,16456.0,16500.0,1817,20240327,1711373400
2024-03-25 22:00:00+08:00,16501.0,16531.0,16496.0,16525.0,1231,20240327,1711375200
2024-03-25 22:30:00+08:00,16524.0,16525.0,16499.0,16511.0,470,20240327,1711377000
2024-03-25 23:00:00+08:00,16512.0,16517.0,16492.0,16507.0,510,20240327,1711378800
2024-03-25 23:30:00+08:00,16508.0,16514.0,16496.0,16498.0,291,20240327,1711380600
2024-03-26 00:00:00+08:00,16498.0,16498.0,16478.0,16486.0,418,20240327,1711382400
2024-03-26 00:30:00+08:00,16485.0,16500.0,16480.0,16489.0,227,20240327,1711384200
2024-03-26 01:00:00+08:00,16492.0,16494.0,16477.0,16484.0,157,20240327,1711386000
2024-03-26 01:30:00+08:00,16484.0,16499.0,16482.0,16498.0,136,20240327,1711387800
2024-03-26 02:00:00+08:00,16498.0,16508.0,16490.0,16507.0,249,20240327,1711389600
2024-03-26 02:30:00+08:00,16506.0,16514.0,16497.0,16497.0,175,20240327,1711391400
2024-03-26 09:15:00+08:00,16533.0,16658.0,16533.0,16644.0,7115,20240327,1711415700
2024-03-26 09:30:00+08:00,16644.0,16690.0,16540.0,16551.0,14423,20240327,1711416600
2024-03-26 10:00:00+08:00,16553.0,16615.0,16506.0,16594.0,6546,20240327,1711418400
2024-03-26 10:30:00+08:00,16594.0,16638.0,16495.0,16523.0,5688,20240327,1711420200
2024-03-26 11:00:00+08:00,16524.0,16544.0,16501.0,16524.0,3364,20240327,1711422000
2024-03-26 11:30:00+08:00,16523.0,16533.0,16479.0,16493.0,2083,20240327,1711423800
2024-03-26 13:00:00+08:00,16491.0,16572.0,16479.0,16558.0,3890,20240327,1711429200
2024-03-26 13:30:00+08:00,16559.0,16623.0,16528.0,16593.0,4886,20240327,1711431000
2024-03-26 14:00:00+08:00,16592.0,16666.0,16581.0,16664.0,5727,20240327,1711432800
2024-03-26 14:30:00+08:00,16664.0,16767.0,16664.0,16733.0,7323,20240327,1711434600
2024-03-26 15:00:00+08:00,16734.0,16755.0,16680.0,16692.0,3331,20240327,1711436400
2024-03-26 15:30:00+08:00,16692.0,16697.0,16632.0,16646.0,4103,20240327,1711438200
2024-03-26 16:00:00+08:00,16645.0,16672.0,16638.0,16666.0,3089,20240327,1711440000
2024-03-26 17:15:00+08:00,16665.0,16683.0,16648.0,16681.0,315,20240327,1711444500
2024-03-26 17:30:00+08:00,16682.0,16684.0,16669.0,16671.0,274,20240327,1711445400
2024-03-26 18:00:00+08:00,16674.0,16685.0,16669.0,16673.0,205,20240327,1711447200
2024-03-26 18:30:00+08:00,16673.0,16674.0,16664.0,16669.0,185,20240327,1711449000
2024-03-26 19:00:00+08:00,16667.0,16668.0,16652.0,16653.0,165,20240327,1711450800
2024-03-26 19:30:00+08:00,16653.0,16655.0,16631.0,16636.0,289,20240327,1711452600
2024-03-26 20:00:00+08:00,16636.0,16656.0,16630.0,16635.0,224,20240327,1711454400
2024-03-26 20:30:00+08:00,16637.0,16645.0,16602.0,16627.0,544,20240327,1711456200
2024-03-26 21:00:00+08:00,16624.0,16625.0,16602.0,16603.0,239,20240327,1711458000
2024-03-26 21:30:00+08:00,16606.0,16613.0,16563.0,16593.0,1652,20240327,1711459800
2024-03-26 22:00:00+08:00,16593.0,16596.0,16563.0,16563.0,622,20240327,1711461600
2024-03-26 22:30:00+08:00,16564.0,16587.0,16553.0,16586.0,294,20240327,1711463400
2024-03-26 23:00:00+08:00,16585.0,16585.0,16550.0,16554.0,268,20240327,1711465200
2024-03-26 23:30:00+08:00,16553.0,16559.0,16541.0,16556.0,273,20240327,1711467000
2024-03-27 00:00:00+08:00,16555.0,16581.0,16553.0,16581.0,243,20240327,1711468800
2024-03-27 00:30:00+08:00,16580.0,16581.0,16563.0,16564.0,89,20240327,1711470600
2024-03-27 01:00:00+08:00,16561.0,16582.0,16557.0,16576.0,166,20240327,1711472400
2024-03-27 01:30:00+08:00,16577.0,16579.0,16558.0,16560.0,104,20240327,1711474200
2024-03-27 02:00:00+08:00,16559.0,16567.0,16558.0,16565.0,42,20240327,1711476000
2024-03-27 02:30:00+08:00,16563.0,16573.0,16557.0,16569.0,155,20240327,1711477800
2024-03-27 09:15:00+08:00,16632.0,16636.0,16507.0,16526.0,5220,20240429,1711502100
2024-03-27 09:30:00+08:00,16525.0,16565.0,16419.0,16564.0,22293,20240429,1711503000
2024-03-27 10:00:00+08:00,16563.0,16628.0,16516.0,16626.0,13282,20240429,1711504800
2024-03-27 10:30:00+08:00,16626.0,16653.0,16538.0,16573.0,9814,20240429,1711506600
2024-03-27 11:00:00+08:00,16573.0,16574.0,16520.0,16558.0,6832,20240429,1711508400
2024-03-27 11:30:00+08:00,16556.0,16556.0,16511.0,16532.0,5064,20240429,1711510200
2024-03-27 13:00:00+08:00,16541.0,16545.0,16461.0,16475.0,7895,20240429,1711515600
2024-03-27 13:30:00+08:00,16474.0,16540.0,16465.0,16507.0,7109,20240429,1711517400
2024-03-27 14:00:00+08:00,16506.0,16563.0,16489.0,16513.0,6553,20240429,1711519200
2024-03-27 14:30:00+08:00,16512.0,16515.0,16440.0,16461.0,8123,20240429,1711521000
2024-03-27 15:00:00+08:00,16461.0,16464.0,16373.0,16413.0,9432,20240429,1711522800
2024-03-27 15:30:00+08:00,16413.0,16435.0,16395.0,16426.0,6752,20240429,1711524600
2024-03-27 16:00:00+08:00,16425.0,16432.0,16395.0,16407.0,6545,20240429,1711526400
2024-03-27 17:15:00+08:00,16402.0,16438.0,16398.0,16427.0,653,20240429,1711530900
2024-03-27 17:30:00+08:00,16427.0,16431.0,16412.0,16426.0,618,20240429,1711531800
2024-03-27 18:00:00+08:00,16426.0,16447.0,16424.0,16441.0,475,20240429,1711533600
2024-03-27 18:30:00+08:00,16437.0,16447.0,16420.0,16421.0,518,20240429,1711535400
2024-03-27 19:00:00+08:00,16421.0,16429.0,16414.0,16426.0,221,20240429,1711537200
